record_id,question_unique_id,question_hin,question_eng,subject,chapter,option1_hin,option1_eng,option2_hin,option2_eng,option3_hin,option3_eng,option4_hin,option4_eng,option5_hin,option5_eng,answer,solution_hin,solution_eng,collection,previous_of,video,type,airtable_table_name,exam,action,current_status,sync_code,error_report,error_description,created_date,section,year,date
rec5bgMVpxQWgKozD,2,"एक बेईमान दुकानदार ऑर्डर किए गए उत्पाद के 1 kg के बदले केवल 800 ग्राम ही देता है। यदि वह 35% लाभ पाने का दावा करता है, तो उसके द्वारा अर्जित लाभ का मूल प्रतिशत कितना है?",,Mathematics,,50.45%,,40%,,68.75% ,,55%,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rec7jfVydFDEy4npg,3,परिमाण में 28 cm व्यास वाले वृत्त का क्षेत्रफल उस आयत के परिमाप के बराबर है जिसकी लम्बाई उसकी चौड़ाई से 8 cm अधिक है। आयत का क्षेत्रफल ज्ञात कीजिए।,,Mathematics,,27300 cm²,,21500 cm²,,234500 cm²,,23700 cm²,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recQy9DkVdxXop6Du,4,"यदि 9 वर्षों के लिए साधारण ब्याज मूलधन के 45% के बराबर हो, तो प्रति वर्ष ब्याज की दर किसके बराबर होगी?",,Mathematics,,8% ,,5%,,6%,,9%,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rec4FD5ZRDWPNvtsp,5,"<p>यदि y = x<sup>2</sup> है, तो x = 10 पर dy/dx ज्ञात कीजिए।</p>",,Mathematics,,1,,<p>10 × 10<sup>10</sup></p>,,10,,<p>2 × 10<sup>10</sup></p>,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
receDLGjaBFBAJNrT,6,"चार मित्र A, B, C और D आपस में धन बांट रहे हैं, यदि 2160 को 2:3:4:3 के अनुपात में विभाजित किया जाए तो उनकी राशि कितनी होगी?",,Mathematics,,"540, 360, 120, 780",,"840, 710, 360, 450",,"720, 540, 360, 520",,"360, 540, 720, 540 ",,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
reccF4BhQki8DW8kp,7,"यदि\(x-{1\over x}=1\)है, तो निम्न दिए का मान ज्ञात कीजिए\(x^8+{1\over x^8}=?\)",,Mathematics,,-1,,3,,47 ,,123,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rec9BEiyxChhrF8W3,8,100 और 1000 के बीच 3 के सभी गुणजों का औसत ज्ञात कीजिए।,,Mathematics,,550.5 ,,555,,562.5,,545,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recgOTMwMuXJXV8gd,9,"सोमवार, मंगलवार और बुधवार को औसत तापमान 39°C है। मंगलवार, बुधवार और गुरुवार को औसत तापमान 44°C है। यदि सोमवार और गुरुवार को औसत तापमान 19.5°C है. तो",,Mathematics,,21°C,,27°C,,17°C,,12°C ,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recNOJdqLtMY2mozQ,10,"यदि xy = a है, a स्थिरांक है, तो dy/dx ज्ञात कीजिए।",,Mathematics,,'-x/(y lnx),,y/(x lnx),,(-x lnx)/y,,'-y/(x Inx) ,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recbY3SAix5XdGEnV,11,"एक परीक्षा में, उत्तीर्ण अंक अधिकतम अंकों का 47.5% है, एक छात्र पुलकित 45 अंकों से अनुत्तीर्ण हो गया, और एक अन्य छात्र तुषार ने 232 अंक प्राप्त किए और 42 अंकों से परीक्षा उत्तीर्ण की। पुलकित को मिले अधिकतम अंक कितने प्रतिशत थे?",,Mathematics,,37.5%,,36.25% ,,35.5%,,32.25%,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recMErm7Ez3D055j5,12,कौन सी सरल मशीन में एक पहिया होता है जिसमें एक नालीदार रिम होता है जिसके चारों ओर एक डोरी गुजरती है जो बल के अनुप्रयोग की दिशा या बिंदु को परिवर्तित करती है?,,Mathematics,,पेंच,,उत्तोलक,,आनत समतल,,घिरनी ,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recahqXO6JpSj97yz,13,निम्नलिखित में से गति के किस समीकरण का उपयोग एकसमान त्वरण से गुजरने वाली वस्तु के अंतिम वेग को ज्ञात करने के लिए किया जा सकता है?,,Mathematics,,v = u + 2as,,v = u + at,,<p>v<sup>2 </sup>=&nbsp;u<sup>2 </sup>+ 2as</p>,,s = ut+ (1/2)at²,,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recuyJxdpmfczSriW,14,"<p>x + y + z = 2 तथा xy + yz + zx = -11 है, तो x<sup>2</sup> + y<sup>2</sup> + z<sup>2</sup>-3xyz मान ज्ञात कीजिए।</p>",,Mathematics,,74 ,,71,,69,,78,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recnlDAKZglc0i5ia,15,"एक त्रिभुज की एक भुजा 7 cm है और त्रिभुज का परिमाप 18 cm है। त्रिभुज का क्षेत्रफल √108 cm² है, तो त्रिभुज की अन्य 2 भुजाएं ज्ञात कीजिए।",,Mathematics,,"4.5, 5.5",,"2,9",,"5,6",,"3,8 ",,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
rec4pUOlebBIcdeR7,16,"<p>मूल्यांकन कीजिए -</p>
<p>[15+15(15+15÷15)]+15÷15</p>",,Mathematics,,240,,225,,217,,256 ,,,,D,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recxHEAs887dr5HHy,17,एक आभूषण में सोने और चांदी का अनुपात 9:7 आभूषण में सोने का प्रतिशत कितना है?,,Mathematics,,56.25% ,,51.8%,,40.9%,,48.79%,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recPgwLuvHqt2RNWe,18,9 × 16÷6 of 16-9÷3 ×(10-16)+14-7×5÷8 of 3/8 का सरलीकृत मान,,Mathematics,,\(9{4\over9}\),,\(9{5\over6}\),,\(9{5\over11}\),,\(9{5\over7}\),,,,B,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recGppO8f82eb0jp0,19,परमाणु के किस भाग में प्रोटॉन और न्यूट्रॉन होते हैं?,,Mathematics,,संयोजकता कोश,,एकाकी इलेक्ट्रॉन युग्म,,नाभिक ,,इलेक्ट्रॉन क्लाउड,,,,C,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
recC817nE8QYj2Tr1,20,731 और 1075 का H.C.F. कितना है?,,Mathematics,,43 ,,1,,19,,37,,,,A,,,GDCE South Central Railway,GDCE  10 Jul 2024 Shift-1,,,offline_test_2,OFFLINE TEST,,UPDATED,3,,,20 July 2024 4:42pm,,,
